source	dataset	paper_dataset	recall_tag	paper_metric	series	pdf_page_1based	pdf_page_0based	drawing_index	point_index	pdf_x	pdf_y	recall	log10_qps	qps	plot_default
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ16	17	16	239	3	110.12165069580078	173.94436645507812	0.7372995428828168	5.878945672180203	756738.2253643272	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ16	17	16	239	4	125.00636291503906	178.7756805419922	0.8537984214533907	5.602206407263594	400134.8767948818	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ16	17	16	239	5	135.21481323242188	182.45448303222656	0.9336973806271796	5.3914833868583685	246310.76147530912	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ16	17	16	239	6	140.75985717773438	186.5435791015625	0.9770970373849719	5.157258614872115	143634.4497110695	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ16	17	16	239	7	142.740234375	191.4414825439453	0.9925969489203785	4.876705089704119	75284.4166732825	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ16	17	16	239	8	143.14907836914062	196.4430694580078	0.9957968674761526	4.590212541069533	38923.55879114258	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ8	17	16	248	0	64.471	169.88544284704838	0.38000344378833695	6.111442155627895	1292534.5346130708	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ8	17	16	248	1	74.25784301757812	170.82577514648438	0.4566025892404382	6.057579611267943	1141772.5857315895	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ8	17	16	248	2	92.489990234375	170.5498046875	0.5993009950547725	6.0733872902108	1184097.0256627577	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ8	17	16	248	3	109.75113677978516	172.74581909179688	0.7343996241558144	5.947598860591318	886336.9619441305	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ8	17	16	248	4	123.57538604736328	175.52835083007812	0.8425985273681564	5.78821452456879	614065.2545946956	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ8	17	16	248	5	131.98236083984375	178.87428283691406	0.908397793156392	5.596558435278151	394964.839162036	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ8	17	16	248	6	135.77699279785156	182.5944061279297	0.9380974179247232	5.383468545771008	241806.82004869462	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ8	17	16	248	7	136.82467651367188	186.84780883789062	0.946297373435584	5.139832235199293	137985.11351765558	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ8	17	16	248	8	136.96524047851562	191.882568359375	0.9473975320433241	4.851439548666789	71029.62938987064	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	17	16	257	0	64.471	171.29280389012774	0.38000344378833695	6.030828050743063	1073564.2742480782	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	17	16	257	1	74.25784301757812	172.02011108398438	0.4566025892404382	5.989167654715073	975366.0946425438	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	17	16	257	2	92.52833557128906	172.1898956298828	0.5996011143102274	5.979442339908198	953767.1053823356	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	17	16	257	3	110.12165069580078	173.91343688964844	0.7372995428828168	5.880717327892752	759831.5593905917	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	17	16	257	4	125.00636291503906	178.48956298828125	0.8537984214533907	5.618595315140267	415523.23662735545	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	17	16	257	5	135.21481323242188	182.1040496826172	0.9336973806271796	5.411556324744115	257962.35005961524	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	17	16	257	6	140.75985717773438	186.38815307617188	0.9770970373849719	5.16616146888693	146609.28268695995	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	17	16	257	7	142.740234375	191.37530517578125	0.9925969489203785	4.880495751186766	75944.3992798033	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	17	16	257	8	143.14907836914062	196.40576171875	0.9957968674761526	4.592349540683339	39115.55896032932	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	17	16	266	0	84.91349792480469	162.12608337402344	0.5400017056521396	6.555900826324713	3596671.9367813934	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	17	16	266	1	96.41240692138672	165.20233154296875	0.6300007585834728	6.379692316246505	2397134.024478366	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	17	16	266	2	106.63365173339844	170.62271118164062	0.7099998570313162	6.069211182172042	1172765.5016426058	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	17	16	266	3	111.74427795410156	171.32852172851562	0.7499994361119088	6.0287821211756505	1068518.6854361065	1
